Nombre y apellidos;Grupo;Lista;ProvinciaAlaQueRepresenta;Alta;Baja;
Serrano Martínez, Juan Francisco;Socialista;PSOE;Jaén;7 de mayo de 2019;;
Seva Ruiz, Yolanda;Socialista;PSOE;Alicante;13 de mayo de 2019;;
Sicilia Alférez, Felipe Jesús;Socialista;PSOE;Jaén;14 de mayo de 2019;;
Simancas Simancas, Rafael;Socialista;PSOE;Madrid;8 de mayo de 2019;;
Simón Marín, José;Socialista;PSOE;Ceuta;17 de mayo de 2019;;
Soler Mur, Alejandro;Socialista;PSOE;Alicante;13 de mayo de 2019;;
Soto Burillo, Juan Luis;Socialista;PSOE;Murcia;9 de mayo de 2019;;
Suárez Illana, Adolfo;Popular;PP;Madrid;8 de mayo de 2019;;
Suárez Lamata, Eloy;Popular;PP;Zaragoza;7 de mayo de 2019;;
Sumelzo Jordán, Susana;Socialista;PSOE;Zaragoza;13 de mayo de 2019;;
Telechea i Lozano, Carolina;Republicano;ERC-S;Barcelona;16 de mayo de 2019;;
Ten Oliver, Vicente;Ciudadanos;Ciudadanos;Valencia;13 de mayo de 2019;;
Tirado Ochoa, Vicente;Popular;PP;Toledo;13 de mayo de 2019;;
Toscano de Balbín, Carla;Vox;Vox;Madrid;17 de mayo de 2019;;
Turull Negre, Jordi;Mixto;JxCat-JUNTS;Lleida;20 de mayo de 2019;;
Uriarte Bengoechea, Edurne;Popular;PP;Madrid;8 de mayo de 2019;;
Uriarte Torrealday, Roberto;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Unidas Podemos;Vizcaya;20 de mayo de 2019;;
Valerio Cordero, Magdalena;Socialista;PSOE;Guadalajara;16 de mayo de 2019;;
Valmaña Ochaíta, Silvia;Popular;PP;Guadalajara;13 de mayo de 2019;;
Vázquez Blanco, Ana Belén;Popular;PP;Orense;8 de mayo de 2019;;
Velarde Gómez, Martina;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Unidas Podemos;Córdoba;14 de mayo de 2019;;
Velasco Morillo, Elvira;Popular;PP;Zamora;19 de julio de 2019;;
Vera Ruíz-Herrera, Noelia;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Unidas Podemos;Cádiz;14 de mayo de 2019;;
Vicente Viondi, Daniel;Socialista;PSOE;Madrid;9 de mayo de 2019;;
Vidal Sáez, Aina;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;En Comú Podem;Barcelona;20 de mayo de 2019;;
Vilas Liñares, María;Ciudadanos;Ciudadanos;La Coruña;29 de octubre de 2019;;
Vilches Ruiz, María Luisa;Socialista;PSOE;Albacete;14 de mayo de 2019;;
Villagrasa Quero, Noemí;Socialista;PSOE;Zaragoza;14 de mayo de 2019;;
Villegas Pérez, José Manuel;Ciudadanos;Ciudadanos;Almería;14 de mayo de 2019;;
Zamarrón Moreno, Agustín;Socialista;PSOE;Burgos;13 de mayo de 2019;;
Zaragoza Alonso, José;Socialista;PSC;Barcelona;9 de mayo de 2019;;
Zurita Expósito, Ana María;Popular;PP;Tenerife;16 de mayo de 2019;;
